Date,Open,Close,Volume
2025-09-01,100.0,102.03,511820
2025-09-02,101.6,100.27,465737
2025-09-03,99.43,99.24,169623
2025-09-04,99.0,100.31,273271
2025-09-05,100.44,99.68,406250
2025-09-08,99.56,101.01,260271
2025-09-09,102.15,103.06,280160
2025-09-10,103.03,103.72,486184
2025-09-11,103.9,104.51,181214
2025-09-12,103.99,104.07,337464
2025-09-15,102.97,101.57,193408
2025-09-16,101.09,101.03,451660
2025-09-17,99.62,99.45,259289
2025-09-18,99.92,100.49,278151
2025-09-19,101.14,100.78,201556
2025-09-22,100.55,98.06,368331
2025-09-23,97.46,97.95,518673
2025-09-24,97.79,98.06,286157
2025-09-25,98.07,96.55,360003
2025-09-26,95.61,97.8,489523
